X1,StartTime,EndTime,Duration,OriginalVolume,OriginalFlowRate,Peak_Value,Mode_Value,Label,Site
0,2019-10-14T13:24:15Z,2019-10-14T13:24:31Z,0.333333333,0.41619,1.24857,0.083238,0.083238,faucet,22
1,2019-10-14T14:03:03Z,2019-10-14T14:03:07Z,0.133333333,0.166476,1.24857,0.041619,0.041619,faucet,22
2,2019-10-14T14:04:03Z,2019-10-14T14:04:55Z,0.933333333,2.830092,3.032241429,0.208095,0.208095,toilet,22
3,2019-10-14T14:15:31Z,2019-10-14T14:15:39Z,0.2,0.208095,1.040475,0.041619,0.041619,faucet,22
4,2019-10-14T15:09:43Z,2019-10-14T15:10:35Z,0.933333333,2.746854,2.943057857,0.208095,0.208095,toilet,22
5,2019-10-14T16:11:55Z,2019-10-14T16:12:03Z,0.2,0.208095,1.040475,0.083238,0.041619,faucet,22
6,2019-10-14T16:16:35Z,2019-10-14T16:16:43Z,0.2,0.124857,0.624285,0.041619,0.041619,faucet,22
7,2019-10-14T16:20:43Z,2019-10-14T16:20:51Z,0.2,0.166476,0.83238,0.041619,0.041619,faucet,22
8,2019-10-14T16:22:43Z,2019-10-14T16:23:59Z,1.333333333,8.115705,6.08677875,0.582666,0.582666,bathtub,22
9,2019-10-14T16:49:47Z,2019-10-14T16:49:51Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet,22
10,2019-10-14T17:03:07Z,2019-10-14T17:03:19Z,0.266666667,0.291333,1.09249875,0.083238,0.041619,faucet,22
11,2019-10-14T17:12:39Z,2019-10-14T17:13:03Z,0.466666667,0.499428,1.070202857,0.041619,0.041619,faucet,22
12,2019-10-14T17:13:35Z,2019-10-14T17:13:39Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet,22
13,2019-10-14T17:15:03Z,2019-10-14T17:15:55Z,0.933333333,2.91333,3.121425,0.249714,0.208095,toilet,22
14,2019-10-14T17:20:51Z,2019-10-14T17:20:55Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet,22
15,2019-10-14T17:22:59Z,2019-10-14T17:23:55Z,1,1.623141,1.623141,0.083238,0.083238,toilet,22
16,2019-10-14T17:25:31Z,2019-10-14T17:25:39Z,0.2,0.208095,1.040475,0.083238,0.041619,faucet,22
17,2019-10-14T17:33:51Z,2019-10-14T17:33:55Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet,22
18,2019-10-14T17:41:39Z,2019-10-14T17:41:59Z,0.4,0.624285,1.5607125,0.083238,0.083238,faucet,22
19,2019-10-14T17:49:59Z,2019-10-14T17:50:03Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet,22
20,2019-10-14T17:51:59Z,2019-10-14T17:52:03Z,0.133333333,0.124857,0.9364275,0.041619,0.041619,faucet,22
21,2019-10-14T17:56:19Z,2019-10-14T17:56:35Z,0.333333333,0.374571,1.123713,0.041619,0.041619,faucet,22
22,2019-10-14T17:59:39Z,2019-10-14T17:59:55Z,0.333333333,0.374571,1.123713,0.083238,0.041619,faucet,22
23,2019-10-14T18:00:15Z,2019-10-14T18:00:43Z,0.533333333,0.541047,1.014463125,0.041619,0.041619,faucet,22
24,2019-10-14T18:49:03Z,2019-10-14T18:49:07Z,0.133333333,0.124857,0.9364275,0.083238,0.041619,faucet,22
25,2019-10-14T18:52:35Z,2019-10-14T18:52:39Z,0.133333333,0.124857,0.9364275,0.041619,0.041619,faucet,22
26,2019-10-14T18:58:11Z,2019-10-14T18:58:47Z,0.666666667,2.330664,3.495996,0.249714,0.249714,toilet,22
27,2019-10-14T19:04:35Z,2019-10-14T19:05:11Z,0.666666667,2.289045,3.4335675,0.249714,0.249714,toilet,22
28,2019-10-14T19:05:47Z,2019-10-14T19:06:43Z,1,3.246282,3.246282,0.249714,0.208095,toilet,22
29,2019-10-14T19:07:51Z,2019-10-14T19:08:59Z,1.2,1.206951,1.0057925,0.041619,0.041619,faucet,22
30,2019-10-14T19:19:39Z,2019-10-14T19:19:47Z,0.2,0.208095,1.040475,0.083238,0.041619,faucet,22
31,2019-10-14T19:21:23Z,2019-10-14T19:22:23Z,1.066666667,1.123713,1.053480938,0.083238,0.041619,faucet,22
32,2019-10-14T19:26:31Z,2019-10-14T19:27:23Z,0.933333333,1.331808,1.426937143,0.083238,0.083238,toilet,22
33,2019-10-14T19:28:47Z,2019-10-14T19:29:11Z,0.466666667,0.707523,1.516120714,0.124857,0.041619,faucet,22
34,2019-10-14T19:29:47Z,2019-10-14T19:30:35Z,0.866666667,2.372283,2.737249615,0.208095,0.208095,toilet,22
35,2019-10-14T19:38:07Z,2019-10-14T19:38:23Z,0.333333333,0.291333,0.873999,0.041619,0.041619,faucet,22
36,2019-10-14T19:49:31Z,2019-10-14T19:50:47Z,1.333333333,3.121425,2.34106875,0.208095,0.208095,toilet,22
37,2019-10-14T19:51:03Z,2019-10-14T19:51:47Z,0.8,0.83238,1.040475,0.041619,0.041619,faucet,22
38,2019-10-14T19:58:47Z,2019-10-14T19:59:47Z,1.066666667,1.040475,0.975445313,0.041619,0.041619,faucet,22
39,2019-10-14T20:23:19Z,2019-10-14T20:24:03Z,0.8,2.372283,2.96535375,0.208095,0.208095,toilet,22
40,2019-10-14T20:25:23Z,2019-10-14T20:26:03Z,0.733333333,2.455521,3.348437727,0.291333,0.249714,toilet,22
41,2019-10-14T20:34:15Z,2019-10-14T20:35:03Z,0.866666667,2.538759,2.929337308,0.249714,0.208095,toilet,22
42,2019-10-14T20:39:55Z,2019-10-14T20:39:59Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet,22
43,2019-10-14T21:33:35Z,2019-10-14T21:33:55Z,0.4,0.41619,1.040475,0.083238,0.041619,faucet,22
44,2019-10-15T05:18:43Z,2019-10-15T05:19:27Z,0.8,2.746854,3.4335675,0.208095,0.208095,toilet,22
45,2019-10-15T05:20:51Z,2019-10-15T05:20:55Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet,22
46,2019-10-15T06:16:35Z,2019-10-15T06:16:39Z,0.133333333,0.124857,0.9364275,0.041619,0.041619,faucet,22
47,2019-10-15T06:19:51Z,2019-10-15T06:22:31Z,2.733333333,7.366563,2.695084024,0.541047,0.083238,shower,22
48,2019-10-15T06:41:23Z,2019-10-15T06:41:27Z,0.133333333,0.083238,0.624285,0.041619,0.041619,faucet,22
49,2019-10-15T07:04:39Z,2019-10-15T07:05:23Z,0.8,2.372283,2.96535375,0.208095,0.208095,toilet,22
50,2019-10-15T07:17:27Z,2019-10-15T07:18:35Z,1.2,1.706379,1.4219825,0.083238,0.083238,toilet,22
51,2019-10-15T07:18:59Z,2019-10-15T07:19:35Z,0.666666667,2.413902,3.620853,0.291333,0.249714,toilet,22
52,2019-10-15T07:27:27Z,2019-10-15T07:27:35Z,0.2,0.208095,1.040475,0.041619,0.041619,faucet,22
53,2019-10-15T07:52:47Z,2019-10-15T07:53:39Z,0.933333333,2.746854,2.943057857,0.208095,0.208095,toilet,22
54,2019-10-15T07:56:15Z,2019-10-15T07:56:39Z,0.466666667,0.582666,1.24857,0.083238,0.083238,faucet,22
55,2019-10-15T07:58:23Z,2019-10-15T07:58:43Z,0.4,0.541047,1.3526175,0.083238,0.041619,faucet,22
56,2019-10-15T08:01:23Z,2019-10-15T08:02:19Z,1,1.040475,1.040475,0.041619,0.041619,faucet,22
57,2019-10-15T08:25:07Z,2019-10-15T08:26:03Z,1,2.788473,2.788473,0.208095,0.208095,toilet,22
